cell_id,species,n_obs,is_present
1249,Myotis yumanensis,0,0
1250,Aeorestes cinereus,0,0
1250,Myotis californicus,0,0
1250,Myotis yumanensis,0,0
1251,Aeorestes cinereus,0,0
1251,Myotis californicus,0,0
1251,Myotis yumanensis,0,0
1252,Aeorestes cinereus,0,0
1252,Myotis californicus,0,0
1252,Myotis yumanensis,0,0
1253,Aeorestes cinereus,0,0
1253,Myotis californicus,0,0
1253,Myotis yumanensis,0,0
1254,Aeorestes cinereus,0,0
1254,Myotis californicus,0,0
1254,Myotis yumanensis,0,0
1255,Aeorestes cinereus,0,0
1255,Myotis californicus,0,0
1255,Myotis yumanensis,0,0
1256,Aeorestes cinereus,0,0
1256,Myotis californicus,0,0
1256,Myotis yumanensis,0,0
1257,Aeorestes cinereus,0,0
1257,Myotis californicus,0,0
1257,Myotis yumanensis,0,0
1258,Aeorestes cinereus,0,0
1258,Myotis californicus,0,0
1258,Myotis yumanensis,0,0
1259,Aeorestes cinereus,0,0
1259,Myotis californicus,0,0
1259,Myotis yumanensis,0,0
1260,Aeorestes cinereus,0,0
1260,Myotis californicus,0,0
1260,Myotis yumanensis,0,0
1261,Aeorestes cinereus,0,0
1261,Myotis californicus,0,0
1261,Myotis yumanensis,0,0
1262,Aeorestes cinereus,0,0
1262,Myotis californicus,0,0
1262,Myotis yumanensis,0,0
1263,Aeorestes cinereus,0,0
1263,Myotis californicus,0,0
1263,Myotis yumanensis,0,0
1264,Aeorestes cinereus,0,0
1264,Myotis californicus,2,1
1264,Myotis yumanensis,0,0
1265,Aeorestes cinereus,0,0
1265,Myotis californicus,0,0
1265,Myotis yumanensis,0,0
1266,Aeorestes cinereus,0,0
1266,Myotis californicus,0,0
1266,Myotis yumanensis,0,0
1267,Aeorestes cinereus,0,0
1267,Myotis californicus,0,0
1267,Myotis yumanensis,0,0
1268,Aeorestes cinereus,0,0
1268,Myotis californicus,0,0
1268,Myotis yumanensis,0,0
1269,Aeorestes cinereus,0,0
1269,Myotis californicus,0,0
1269,Myotis yumanensis,0,0
1270,Aeorestes cinereus,0,0
1270,Myotis californicus,0,0
1270,Myotis yumanensis,0,0
1271,Aeorestes cinereus,0,0
1271,Myotis californicus,0,0
1271,Myotis yumanensis,0,0
1272,Aeorestes cinereus,0,0
1272,Myotis californicus,0,0
1272,Myotis yumanensis,0,0
1273,Aeorestes cinereus,0,0
1273,Myotis californicus,0,0
1273,Myotis yumanensis,0,0
1280,Aeorestes cinereus,0,0
1280,Myotis californicus,0,0
1280,Myotis yumanensis,0,0
1281,Aeorestes cinereus,0,0
1281,Myotis californicus,0,0
1281,Myotis yumanensis,0,0
1282,Aeorestes cinereus,0,0
1282,Myotis californicus,0,0
1282,Myotis yumanensis,0,0
1283,Aeorestes cinereus,0,0
1283,Myotis californicus,0,0
1283,Myotis yumanensis,0,0
1284,Aeorestes cinereus,0,0
1284,Myotis californicus,0,0
1284,Myotis yumanensis,0,0
1341,Aeorestes cinereus,0,0
1341,Myotis californicus,0,0
1341,Myotis yumanensis,0,0
1342,Aeorestes cinereus,0,0
1342,Myotis californicus,0,0
1342,Myotis yumanensis,0,0
1343,Aeorestes cinereus,1,1
1343,Myotis californicus,0,0
1343,Myotis yumanensis,0,0
1344,Aeorestes cinereus,0,0
1344,Myotis californicus,0,0
1344,Myotis yumanensis,0,0
1345,Aeorestes cinereus,0,0
1345,Myotis californicus,0,0
1345,Myotis yumanensis,0,0
1346,Aeorestes cinereus,0,0
1346,Myotis californicus,0,0
1346,Myotis yumanensis,0,0
1347,Aeorestes cinereus,1,1
1347,Myotis californicus,0,0
1347,Myotis yumanensis,0,0
1348,Aeorestes cinereus,0,0
1348,Myotis californicus,0,0
1348,Myotis yumanensis,0,0
1349,Aeorestes cinereus,0,0
1349,Myotis californicus,0,0
1349,Myotis yumanensis,0,0
1350,Aeorestes cinereus,0,0
1350,Myotis californicus,0,0
1350,Myotis yumanensis,0,0
1351,Aeorestes cinereus,0,0
1351,Myotis californicus,0,0
1351,Myotis yumanensis,0,0
1352,Aeorestes cinereus,0,0
1352,Myotis californicus,0,0
1352,Myotis yumanensis,0,0
1353,Aeorestes cinereus,0,0
1353,Myotis californicus,0,0
1353,Myotis yumanensis,0,0
1354,Aeorestes cinereus,0,0
1354,Myotis californicus,0,0
1354,Myotis yumanensis,0,0
1355,Aeorestes cinereus,0,0
1355,Myotis californicus,0,0
1355,Myotis yumanensis,0,0
1356,Aeorestes cinereus,0,0
1356,Myotis californicus,1,1
1356,Myotis yumanensis,0,0
1357,Aeorestes cinereus,0,0
1357,Myotis californicus,0,0
1357,Myotis yumanensis,0,0
1358,Aeorestes cinereus,0,0
1358,Myotis californicus,0,0
1358,Myotis yumanensis,0,0
1359,Aeorestes cinereus,0,0
1359,Myotis californicus,0,0
1359,Myotis yumanensis,0,0
1360,Aeorestes cinereus,0,0
1360,Myotis californicus,0,0
1360,Myotis yumanensis,0,0
1361,Aeorestes cinereus,0,0
1361,Myotis californicus,0,0
1361,Myotis yumanensis,0,0
1362,Aeorestes cinereus,0,0
1362,Myotis californicus,0,0
1362,Myotis yumanensis,0,0
1363,Aeorestes cinereus,0,0
1363,Myotis californicus,0,0
1363,Myotis yumanensis,0,0
1364,Aeorestes cinereus,0,0
1364,Myotis californicus,0,0
1364,Myotis yumanensis,0,0
1365,Aeorestes cinereus,0,0
1365,Myotis californicus,0,0
1365,Myotis yumanensis,0,0
1366,Aeorestes cinereus,0,0
1366,Myotis californicus,0,0
1366,Myotis yumanensis,0,0
1373,Aeorestes cinereus,0,0
1373,Myotis californicus,0,0
1373,Myotis yumanensis,0,0
1374,Aeorestes cinereus,0,0
1374,Myotis californicus,0,0
1374,Myotis yumanensis,0,0
1375,Aeorestes cinereus,0,0
1375,Myotis californicus,0,0
1375,Myotis yumanensis,0,0
1376,Aeorestes cinereus,0,0
1376,Myotis californicus,0,0
1376,Myotis yumanensis,0,0
1433,Aeorestes cinereus,0,0
1433,Myotis californicus,0,0
1433,Myotis yumanensis,0,0
1434,Aeorestes cinereus,1,1
1434,Myotis californicus,0,0
1434,Myotis yumanensis,0,0
1435,Aeorestes cinereus,0,0
1435,Myotis californicus,0,0
1435,Myotis yumanensis,1,1
1436,Aeorestes cinereus,0,0
1436,Myotis californicus,0,0
1436,Myotis yumanensis,0,0
1437,Aeorestes cinereus,0,0
1437,Myotis californicus,0,0
1437,Myotis yumanensis,0,0
1438,Aeorestes cinereus,0,0
1438,Myotis californicus,0,0
1438,Myotis yumanensis,0,0
1439,Aeorestes cinereus,0,0
1439,Myotis californicus,0,0
1439,Myotis yumanensis,0,0
1440,Aeorestes cinereus,0,0
1440,Myotis californicus,0,0
1440,Myotis yumanensis,0,0
1441,Aeorestes cinereus,0,0
1441,Myotis californicus,0,0
1441,Myotis yumanensis,0,0
1442,Aeorestes cinereus,0,0
1442,Myotis californicus,0,0
1442,Myotis yumanensis,0,0
1443,Aeorestes cinereus,0,0
1443,Myotis californicus,0,0
1443,Myotis yumanensis,0,0
1444,Aeorestes cinereus,0,0
1444,Myotis californicus,0,0
1444,Myotis yumanensis,0,0
1445,Aeorestes cinereus,0,0
1445,Myotis californicus,0,0
1445,Myotis yumanensis,0,0
1446,Aeorestes cinereus,0,0
1446,Myotis californicus,0,0
1446,Myotis yumanensis,0,0
1447,Aeorestes cinereus,0,0
1447,Myotis californicus,0,0
1447,Myotis yumanensis,0,0
1448,Aeorestes cinereus,0,0
1448,Myotis californicus,0,0
1448,Myotis yumanensis,0,0
1449,Aeorestes cinereus,0,0
1449,Myotis californicus,0,0
1449,Myotis yumanensis,0,0
1450,Aeorestes cinereus,0,0
1450,Myotis californicus,0,0
1450,Myotis yumanensis,0,0
1451,Aeorestes cinereus,0,0
1451,Myotis californicus,0,0
1451,Myotis yumanensis,0,0
1452,Aeorestes cinereus,0,0
1452,Myotis californicus,0,0
1452,Myotis yumanensis,0,0
1453,Aeorestes cinereus,0,0
1453,Myotis californicus,0,0
1453,Myotis yumanensis,0,0
1454,Aeorestes cinereus,0,0
1454,Myotis californicus,0,0
1454,Myotis yumanensis,0,0
1455,Aeorestes cinereus,0,0
1455,Myotis californicus,0,0
1455,Myotis yumanensis,0,0
1456,Aeorestes cinereus,0,0
1456,Myotis californicus,0,0
1456,Myotis yumanensis,0,0
1457,Aeorestes cinereus,0,0
1457,Myotis californicus,0,0
1457,Myotis yumanensis,0,0
1458,Aeorestes cinereus,0,0
1458,Myotis californicus,0,0
1458,Myotis yumanensis,0,0
1466,Aeorestes cinereus,0,0
1466,Myotis californicus,0,0
1466,Myotis yumanensis,0,0
1467,Aeorestes cinereus,0,0
1467,Myotis californicus,0,0
1467,Myotis yumanensis,0,0
1468,Aeorestes cinereus,0,0
1468,Myotis californicus,0,0
1468,Myotis yumanensis,0,0
1511,Aeorestes cinereus,0,0
1511,Myotis californicus,0,0
1511,Myotis yumanensis,0,0
1520,Aeorestes cinereus,0,0
1520,Myotis californicus,0,0
1520,Myotis yumanensis,0,0
1521,Aeorestes cinereus,0,0
1521,Myotis californicus,0,0
1521,Myotis yumanensis,0,0
1522,Aeorestes cinereus,1,1
1522,Myotis californicus,2,1
1522,Myotis yumanensis,0,0
1523,Aeorestes cinereus,1,1
1523,Myotis californicus,0,0
1523,Myotis yumanensis,0,0
1524,Aeorestes cinereus,0,0
1524,Myotis californicus,0,0
1524,Myotis yumanensis,0,0
1525,Aeorestes cinereus,0,0
1525,Myotis californicus,0,0
1525,Myotis yumanensis,0,0
1526,Aeorestes cinereus,2,1
1526,Myotis californicus,0,0
1526,Myotis yumanensis,0,0
1527,Aeorestes cinereus,0,0
1527,Myotis californicus,0,0
1527,Myotis yumanensis,0,0
1528,Aeorestes cinereus,0,0
1528,Myotis californicus,0,0
1528,Myotis yumanensis,0,0
1529,Aeorestes cinereus,0,0
1529,Myotis californicus,0,0
1529,Myotis yumanensis,0,0
1530,Aeorestes cinereus,0,0
1530,Myotis californicus,0,0
1530,Myotis yumanensis,1,1
1531,Aeorestes cinereus,0,0
1531,Myotis californicus,0,0
1531,Myotis yumanensis,0,0
1532,Aeorestes cinereus,0,0
1532,Myotis californicus,0,0
1532,Myotis yumanensis,0,0
1533,Aeorestes cinereus,0,0
1533,Myotis californicus,0,0
1533,Myotis yumanensis,0,0
1534,Aeorestes cinereus,0,0
1534,Myotis californicus,1,1
1534,Myotis yumanensis,1,1
1535,Aeorestes cinereus,0,0
1535,Myotis californicus,0,0
1535,Myotis yumanensis,0,0
1536,Aeorestes cinereus,0,0
1536,Myotis californicus,0,0
1536,Myotis yumanensis,0,0
1537,Aeorestes cinereus,0,0
1537,Myotis californicus,0,0
1537,Myotis yumanensis,0,0
1538,Aeorestes cinereus,0,0
1538,Myotis californicus,0,0
1538,Myotis yumanensis,0,0
1539,Aeorestes cinereus,0,0
1539,Myotis californicus,0,0
1539,Myotis yumanensis,0,0
1540,Aeorestes cinereus,0,0
1540,Myotis californicus,0,0
1540,Myotis yumanensis,0,0
1541,Aeorestes cinereus,1,1
1541,Myotis californicus,0,0
1541,Myotis yumanensis,0,0
1542,Aeorestes cinereus,0,0
1542,Myotis californicus,0,0
1542,Myotis yumanensis,0,0
1543,Aeorestes cinereus,0,0
1543,Myotis californicus,0,0
1543,Myotis yumanensis,0,0
1544,Aeorestes cinereus,0,0
1544,Myotis californicus,0,0
1544,Myotis yumanensis,0,0
1545,Aeorestes cinereus,0,0
1545,Myotis californicus,1,1
1545,Myotis yumanensis,0,0
1546,Aeorestes cinereus,0,0
1546,Myotis californicus,1,1
1546,Myotis yumanensis,0,0
1547,Aeorestes cinereus,0,0
1547,Myotis californicus,0,0
1547,Myotis yumanensis,0,0
1548,Aeorestes cinereus,0,0
1548,Myotis californicus,0,0
1548,Myotis yumanensis,0,0
1549,Aeorestes cinereus,0,0
1549,Myotis californicus,0,0
1549,Myotis yumanensis,0,0
1550,Aeorestes cinereus,0,0
1550,Myotis californicus,0,0
1550,Myotis yumanensis,0,0
1558,Aeorestes cinereus,0,0
1558,Myotis californicus,0,0
1558,Myotis yumanensis,0,0
1559,Aeorestes cinereus,0,0
1559,Myotis californicus,0,0
1559,Myotis yumanensis,0,0
1560,Aeorestes cinereus,0,0
1560,Myotis californicus,0,0
1560,Myotis yumanensis,0,0
157,Aeorestes cinereus,0,0
157,Myotis californicus,0,0
157,Myotis yumanensis,0,0
158,Aeorestes cinereus,1,1
158,Myotis californicus,0,0
158,Myotis yumanensis,1,1
159,Aeorestes cinereus,2,1
159,Myotis californicus,0,0
159,Myotis yumanensis,1,1
160,Aeorestes cinereus,0,0
160,Myotis californicus,0,0
160,Myotis yumanensis,1,1
161,Aeorestes cinereus,0,0
161,Myotis californicus,0,0
161,Myotis yumanensis,0,0
1610,Aeorestes cinereus,1,1
1610,Myotis californicus,0,0
1610,Myotis yumanensis,1,1
1611,Aeorestes cinereus,0,0
1611,Myotis californicus,0,0
1611,Myotis yumanensis,0,0
1612,Aeorestes cinereus,0,0
1612,Myotis californicus,0,0
1612,Myotis yumanensis,0,0
1613,Aeorestes cinereus,0,0
1613,Myotis californicus,1,1
1613,Myotis yumanensis,1,1
1614,Aeorestes cinereus,0,0
1614,Myotis californicus,0,0
1614,Myotis yumanensis,0,0
1615,Aeorestes cinereus,0,0
1615,Myotis californicus,0,0
1615,Myotis yumanensis,0,0
1616,Aeorestes cinereus,2,1
1616,Myotis californicus,0,0
1616,Myotis yumanensis,0,0
1617,Aeorestes cinereus,0,0
1617,Myotis californicus,0,0
1617,Myotis yumanensis,0,0
1618,Aeorestes cinereus,4,1
1618,Myotis californicus,0,0
