GEOID,county_name,year,species_key,species_label,n_obs,mean_radiance,log1p_radiance,has_viirs,vnl_version,pct_developed,pct_protected
06001,Alameda,2012,2432425,Myotis californicus,0,9.814491243673606,2.3808870165670046,TRUE,v2.1,33.786444907369244,9.479336472730129
06001,Alameda,2012,2432461,Myotis yumanensis,0,9.814491243673606,2.3808870165670046,TRUE,v2.1,33.786444907369244,9.479336472730129
06001,Alameda,2012,11138256,Aeorestes cinereus,0,9.814491243673606,2.3808870165670046,TRUE,v2.1,33.786444907369244,9.479336472730129
06003,Alpine,2012,2432425,Myotis californicus,0,0.00753711476824642,0.00750885263982991,TRUE,v2.1,0.7446981643498903,93.88061170976252
06003,Alpine,2012,2432461,Myotis yumanensis,0,0.00753711476824642,0.00750885263982991,TRUE,v2.1,0.7446981643498903,93.88061170976252
06003,Alpine,2012,11138256,Aeorestes cinereus,0,0.00753711476824642,0.00750885263982991,TRUE,v2.1,0.7446981643498903,93.88061170976252
06005,Amador,2012,2432425,Myotis californicus,0,0.3057097379380526,0.26674675342507015,TRUE,v2.1,6.214775769169895,23.677507824478862
06005,Amador,2012,2432461,Myotis yumanensis,0,0.3057097379380526,0.26674675342507015,TRUE,v2.1,6.214775769169895,23.677507824478862
06005,Amador,2012,11138256,Aeorestes cinereus,0,0.3057097379380526,0.26674675342507015,TRUE,v2.1,6.214775769169895,23.677507824478862
06007,Butte,2012,2432425,Myotis californicus,0,0.5009943927326281,0.4061278169565578,TRUE,v2.1,7.6399733546882596,21.186723404706143
06007,Butte,2012,2432461,Myotis yumanensis,0,0.5009943927326281,0.4061278169565578,TRUE,v2.1,7.6399733546882596,21.186723404706143
06007,Butte,2012,11138256,Aeorestes cinereus,1,0.5009943927326281,0.4061278169565578,TRUE,v2.1,7.6399733546882596,21.186723404706143
06009,Calaveras,2012,2432425,Myotis californicus,0,0.13459364480531713,0.1262745646301592,TRUE,v2.1,5.4275700128114,20.38040451476576
06009,Calaveras,2012,2432461,Myotis yumanensis,0,0.13459364480531713,0.1262745646301592,TRUE,v2.1,5.4275700128114,20.38040451476576
06009,Calaveras,2012,11138256,Aeorestes cinereus,0,0.13459364480531713,0.1262745646301592,TRUE,v2.1,5.4275700128114,20.38040451476576
06011,Colusa,2012,2432425,Myotis californicus,0,0.14407485627486474,0.13459632462360796,TRUE,v2.1,2.869863637306064,19.046493983429706
06011,Colusa,2012,2432461,Myotis yumanensis,0,0.14407485627486474,0.13459632462360796,TRUE,v2.1,2.869863637306064,19.046493983429706
06011,Colusa,2012,11138256,Aeorestes cinereus,0,0.14407485627486474,0.13459632462360796,TRUE,v2.1,2.869863637306064,19.046493983429706
06013,Contra Costa,2012,2432425,Myotis californicus,0,6.152848713452306,1.967510698819022,TRUE,v2.1,34.586677160330474,11.466911527402669
06013,Contra Costa,2012,2432461,Myotis yumanensis,0,6.152848713452306,1.967510698819022,TRUE,v2.1,34.586677160330474,11.466911527402669
06013,Contra Costa,2012,11138256,Aeorestes cinereus,0,6.152848713452306,1.967510698819022,TRUE,v2.1,34.586677160330474,11.466911527402669
06015,Del Norte,2012,2432425,Myotis californicus,0,0.11809600784477288,0.11162724568343464,TRUE,v2.1,3.508829580034435,71.02878968499535
06015,Del Norte,2012,2432461,Myotis yumanensis,0,0.11809600784477288,0.11162724568343464,TRUE,v2.1,3.508829580034435,71.02878968499535
06015,Del Norte,2012,11138256,Aeorestes cinereus,0,0.11809600784477288,0.11162724568343464,TRUE,v2.1,3.508829580034435,71.02878968499535
06017,El Dorado,2012,2432425,Myotis californicus,0,0.3674056912089028,0.3129152885547887,TRUE,v2.1,7.161042187580848,48.38883985265707
06017,El Dorado,2012,2432461,Myotis yumanensis,0,0.3674056912089028,0.3129152885547887,TRUE,v2.1,7.161042187580848,48.38883985265707
06017,El Dorado,2012,11138256,Aeorestes cinereus,0,0.3674056912089028,0.3129152885547887,TRUE,v2.1,7.161042187580848,48.38883985265707
06019,Fresno,2012,2432425,Myotis californicus,0,0.9381045809925312,0.661710475373044,TRUE,v2.1,6.100553396533948,40.88543775780539
06019,Fresno,2012,2432461,Myotis yumanensis,0,0.9381045809925312,0.661710475373044,TRUE,v2.1,6.100553396533948,40.88543775780539
06019,Fresno,2012,11138256,Aeorestes cinereus,0,0.9381045809925312,0.661710475373044,TRUE,v2.1,6.100553396533948,40.88543775780539
06021,Glenn,2012,2432425,Myotis californicus,0,0.10512736890053988,0.09996059430044352,TRUE,v2.1,3.8157524756963905,28.877574505631475
06021,Glenn,2012,2432461,Myotis yumanensis,0,0.10512736890053988,0.09996059430044352,TRUE,v2.1,3.8157524756963905,28.877574505631475
06021,Glenn,2012,11138256,Aeorestes cinereus,0,0.10512736890053988,0.09996059430044352,TRUE,v2.1,3.8157524756963905,28.877574505631475
06023,Humboldt,2012,2432425,Myotis californicus,0,0.10573287305101411,0.10050834865788688,TRUE,v2.1,3.662598588306396,23.796172943389976
06023,Humboldt,2012,2432461,Myotis yumanensis,0,0.10573287305101411,0.10050834865788688,TRUE,v2.1,3.662598588306396,23.796172943389976
06023,Humboldt,2012,11138256,Aeorestes cinereus,0,0.10573287305101411,0.10050834865788688,TRUE,v2.1,3.662598588306396,23.796172943389976
06025,Imperial,2012,2432425,Myotis californicus,0,0.47327651577642554,0.3874888427252364,TRUE,v2.1,2.817688012162814,52.358795392788274
06025,Imperial,2012,2432461,Myotis yumanensis,0,0.47327651577642554,0.3874888427252364,TRUE,v2.1,2.817688012162814,52.358795392788274
