cell_id,species,n_obs,is_present,viirs_years,mean_radiance,log1p_radiance,pct_developed,pct_protected,pop_density,log1p_pop_density
1000,Aeorestes cinereus,0,0,13,0,0,9.000171003249062e-6,0,0.02621469460427761,0.02587697885828379
1001,Aeorestes cinereus,0,0,13,0,0,0,0,0.042181346565485,0.04131596519951355
1002,Aeorestes cinereus,0,0,13,0,0,0,0.48834723150443754,0,0
1003,Aeorestes cinereus,0,0,13,0,0,1.1699695807908994e-4,0.999999999999986,1.717028208076954e-4,1.7168808156551422e-4
1004,Aeorestes cinereus,0,0,13,0,0,9.000252007056197e-6,0.9999999999999952,0.00820838566869497,0.00817488009728154
1005,Aeorestes cinereus,0,0,13,0,0,0,1,0.0319959931075573,0.03149478440411769
1006,Aeorestes cinereus,0,0,13,0,0,0,1,3.45458829542622e-5,3.4545286258989856e-5
1007,Aeorestes cinereus,0,0,13,0.08069085071866329,0.07760051322161955,0.03833034838407747,0.4368300449777968,3.5886521339416504,1.5235863282120226
1070,Aeorestes cinereus,0,0,13,8.762918178851788,2.2785913494700964,0.38473099699407814,0.1204752774061698,730.79180908203125,6.595496059685668
1071,Aeorestes cinereus,0,0,13,18.337726152860203,2.9620579108720495,0.680988938789837,0.2486429392944593,1582.664794921875,7.36749693061233
1072,Aeorestes cinereus,1,1,13,11.900379694425142,2.557256744610832,0.5767025767025767,0.09248476373968294,1120.1776123046875,7.022134851471484
1073,Aeorestes cinereus,0,0,13,0.4100196613715245,0.34360364852798075,0.02030365483786775,0.8878215303423121,3.537123441696167,1.5122932080913287
1074,Aeorestes cinereus,0,0,13,0.07532051793084694,0.07261877335463637,0.01015210152101521,0.9478399646684248,6.649385929107666,2.0346253739116986
1075,Aeorestes cinereus,0,0,13,2.9848362665909987,1.3824962239679537,0.2955179551795518,0.2910775001147436,361.3594665527344,5.892636720652786
1076,Aeorestes cinereus,0,0,13,14.140324739309458,2.717361696875011,0.6533556533556534,0.13550225614015302,1493.95703125,7.309852743772942
1077,Aeorestes cinereus,0,0,13,5.370186493946956,1.8516287460702612,0.3703807038070381,0.11184552294184336,571.14703369140625,6.34939601025567
1078,Aeorestes cinereus,0,0,13,0.7884027476494129,0.5813229017494745,0.10900909009090091,0.06203491974769852,57.14592361450195,4.06295577529512
1079,Aeorestes cinereus,0,0,13,0.13899957589232004,0.1301503121140715,0.01645186838505291,0.31099279559343807,10.906352043151855,2.4770720428436843
1080,Aeorestes cinereus,0,0,13,0.3718235767804659,0.3161409326830724,0.04266904266904266,0.4041605045896792,26.895164489746097,3.3284533580266946
