gbif_id,dataset_key,occurrence_id,kingdom,phylum,class,order,family,genus,species,infraspecific_epithet,taxon_rank,scientific_name,verbatim_scientific_name,verbatim_scientific_name_authorship,country_code,locality,state_province,occurrence_status,individual_count,publishing_org_key,decimal_latitude,decimal_longitude,coordinate_uncertainty_in_meters,coordinate_precision,elevation,elevation_accuracy,depth,depth_accuracy,event_date,day,month,year,taxon_key,species_key,basis_of_record,institution_code,collection_code,catalog_number,record_number,identified_by,date_identified,license,rights_holder,recorded_by,type_status,establishment_means,last_interpreted,media_type,issue
5890182840,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/305414969,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,CA,,Québec,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,45.428663,-73.592779,40,NA,NA,NA,NA,NA,2025-08-10T00:01,10,8,2025,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,305414969,,Fusion Urbain-Nature,2025-08-11T01:32:57Z,CC_BY_NC_4_0,Fusion Urbain-Nature,Fusion Urbain-Nature,,,2025-12-10T19:17:47Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5890119296,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/54524750,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis yumanensis,,SPECIES,"Myotis yumanensis (H.Allen, 1864)",Myotis yumanensis,,CA,,British Columbia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.313698,-122.874354,26550,NA,NA,NA,NA,NA,2020-07-19T00:12:54,19,7,2020,2432461,2432461,HUMAN_OBSERVATION,iNaturalist,Observations,54524750,,Robyn Worcester,2020-07-27T14:47:39Z,CC_BY_NC_4_0,Robyn Worcester,Robyn Worcester,,,2025-12-10T19:36:52Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5890107366,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/322816159,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,US,,North Carolina,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,34.479658,-77.527738,28818,NA,NA,NA,NA,NA,2025-10-24T11:51:30,24,10,2025,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,322816159,,trobhart,2025-10-24T19:10:45Z,CC_BY_NC_4_0,trobhart,trobhart,,,2025-12-10T22:07:34Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5889814743,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/324199511,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis californicus,,SPECIES,"Myotis californicus (Audubon & Bachman, 1842)",Myotis californicus,,US,,Texas,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,31.442799,-100.465421,15,NA,NA,NA,NA,NA,2025-10-30T15:41,30,10,2025,2432425,2432425,HUMAN_OBSERVATION,iNaturalist,Observations,324199511,,lammerma,2025-10-31T18:54:11Z,CC_BY_NC_4_0,lammerma,lammerma,,,2025-12-10T19:23:20Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5889654482,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/323296175,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,MX,,Puebla,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,19.080994,-97.37998,1326,NA,NA,NA,NA,NA,2025-10-24T16:24:21,24,10,2025,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,323296175,,Jakob Fahr,2025-10-26T22:42:08Z,CC_BY_NC_4_0,Odiseo,Odiseo,,,2025-12-10T20:51:45Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5889461903,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/163073862,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis californicus,,SPECIES,"Myotis californicus (Audubon & Bachman, 1842)",Myotis californicus,,MX,,Baja California Sur,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,27.627314,-114.783522,31,NA,NA,NA,NA,NA,2018-07-22T11:35,22,7,2018,2432425,2432425,HUMAN_OBSERVATION,iNaturalist,Observations,163073862,,MarvalPhotography19,2023-05-22T06:34:57Z,CC_BY_4_0,MarvalPhotography19,MarvalPhotography19,,,2025-12-10T21:30:16Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5889229718,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/296648553,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis californicus,,SPECIES,"Myotis californicus (Audubon & Bachman, 1842)",Myotis californicus,,MX,,Coahuila,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,26.865719,-101.479884,622,NA,NA,NA,NA,NA,2025-07-05,5,7,2025,2432425,2432425,HUMAN_OBSERVATION,iNaturalist,Observations,296648553,,Karla M. Benítez,2025-07-10T00:48:24Z,CC_BY_4_0,Karla M. Benítez,Karla M. Benítez,,,2025-12-10T20:46:46Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5868419381,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/33969837,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis californicus,,SPECIES,"Myotis californicus (Audubon & Bachman, 1842)",Myotis californicus,,CA,,British Columbia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,48.617657,-123.18052,26646,NA,NA,NA,NA,NA,2019-09-24T22:51,24,9,2019,2432425,2432425,HUMAN_OBSERVATION,iNaturalist,Observations,33969837,,Jason Headley,2019-10-06T19:40:56Z,CC_BY_4_0,Jason Headley,Jason Headley,,,2025-12-10T17:52:56Z,StillImage,COORDINATE_ROUNDED;COUNTRY_COORDINATE_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5868293302,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/321063340,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,US,,Ohio,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.021583,-83.690335,131,NA,NA,NA,NA,NA,2025-10-15T12:25:42,15,10,2025,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,321063340,,Tim Kleman,2025-10-15T16:30:43Z,CC_BY_NC_4_0,Tim Kleman,Tim Kleman,,,2025-12-10T19:21:33Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5867843391,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/35381314,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis californicus,,SPECIES,"Myotis californicus (Audubon & Bachman, 1842)",Myotis californicus,,CA,,British Columbia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,48.692952,-123.17931,26646,NA,NA,NA,NA,NA,2019-09-30T20:31,30,9,2019,2432425,2432425,HUMAN_OBSERVATION,iNaturalist,Observations,35381314,,Kyle Nelson,2019-11-06T19:50:13Z,CC_BY_NC_4_0,Kyle Nelson,Kyle Nelson,,,2025-12-10T17:49:18Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
