cell_id,viirs_years,mean_radiance,log1p_radiance,pct_developed,pct_protected,pop_density,log1p_pop_density
65,13,14.477920458867,2.7394145218550268,0.566641020329654,0.12575227256768087,2174.432373046875,7.684982715971692
66,13,18.036703476539024,2.9463688776369286,0.661241151782172,0.0192808258544249,1587.7435302734375,7.370698750283531
67,13,9.846957793602577,2.3838846529840936,0.1777599407261052,0.4890559275028975,209.88490295410156,5.3513125010158955
68,13,0.1461110719694541,0.13637453503528282,0.00367580323107642,0.7610934302738582,4.553280830383301,1.7143888937131637
69,13,0.36454551953535813,0.3108214204745099,0.010287067409405872,0.3148946542136413,49.510902404785156,3.92218920218426
70,13,1.5423353176850538,0.9330830750375054,0.0446521287642783,0.1864979190393271,71.746917724609375,4.2869865371074445
71,13,0.32939210534095764,0.2847217740948166,0.018033848145750486,0.3769073594861471,21.509599685668945,3.11394187091639
72,13,0.11093307759326237,0.10520027265353799,0.016807950891552178,0.4174658787940788,13.650632858276367,2.684483533047205
156,13,15.518034934997559,2.8044528103516333,0.6597681895550213,0.018476774414611326,1324.349609375,7.189431559748491
157,13,29.55917710524339,3.4196650367513324,0.7355685389715952,0.014074284639362005,3437.619384765625,8.142825328170433
158,13,13.62939533820519,2.683032883911693,0.7826568265682656,0.09161312351691414,2006.690673828125,7.6047404220468335
159,13,2.1255767803925734,1.139618835883092,0.1250168747131299,0.5164243104140142,218.59803771972656,5.391798773892932
160,13,0.2789940398473006,0.2460738625759186,0.023283023283023282,0.56260239841364,12.087183952331543,2.5716334270860837
161,13,0.045881401460904345,0.04485997628983582,0.010620106201062011,0.5053350031966412,11.04911994934082,2.488991624019882
162,13,0.08492807614115569,0.08151369552436781,0.011915582954596588,0.6886248988061978,9.335210800170898,2.335556589652465
163,13,0.2816406419643989,0.24814100872396436,0.044127441274412746,0.3169091604380224,28.330699920654297,3.3786347463478017
164,13,0.17146881039326006,0.15825835496064466,0.018785216655565356,0.08694801524527077,12.129076957702637,2.5748293855923943
165,13,0.30736341499365294,0.26801244878037145,0.02777130654241895,0.12785243670278554,9.142060279846191,2.3166911609408665
166,13,0.30339480821902937,0.26497225164829674,0.03280509646557392,0.3619111313563124,8.393488883972168,2.2400167773500734
167,13,0.027620107508622684,0.027245553509234653,0.0048147286927738035,0.9375312418448761,0.3668077886104584,0.31247793967008186
168,13,0.021097839451753177,0.020878361674416854,0.0029974478872274463,0.9999975214008654,0.0660739466547966,0.06398269168186735
169,13,0.008686620455521803,0.008649108844278611,0.009404163675520459,0.9970097779592902,0.0067460802383720875,0.006723427261213245
170,13,0.03341574852283184,0.032869576277598116,0,0.9816824230483701,0.0010049723787233233,0.0010044677320579978
171,13,1.032150075985835,0.7090943832812354,0.14450736126840316,0,1.9607658386230469,1.0854479641358679
172,13,7.254379749298096,2.1107439381831434,0.08720456397718011,0,482.98443603515625,6.182052749247429
248,13,26.192008532010593,3.3029231261629106,0.8191899812359006,0.005081920088220369,2294.704833984375,7.738795192548332
249,13,29.338662220881535,3.412422880030715,0.9738007380073801,0.009075571755336501,3440.6572265625,8.143708386269953
250,13,19.73957927410419,3.0320439168725852,0.9385209385209385,0.02208016393180147,2420.3310546875,7.792072690541886
251,13,6.139512355511005,1.965644476471631,0.44732247322473223,0.28980903495248134,661.04150390625,6.495328248694208
252,13,0.7594905908291156,0.5650243301261678,0.04799661602707178,0.16188185192693538,31.404417037963867,3.4782947418386394
253,13,0.06462130265740249,0.06261915156703295,0.015561015561015561,0.6468329508622614,13.107032775878906,2.6466734514666355
254,13,3.35772482615609e-4,3.357161236510748e-4,9.54000954000954e-4,0.7799183930040617,0.20276512205600739,0.18462317441883042
255,13,0.27314384052386653,0.24148930653361034,0.031518031518031515,0.8187719072102289,1.5498846769332886,0.9360481334156221
256,13,0.35073059224165404,0.30064562550381935,0.02133902133902134,0.24534238628111146,3.166567802429199,1.427092627941654
257,13,0.02898340314053572,0.02857132760671134,0.004941004941004941,0.6537454477406165,1.716171145439148,0.9992232214958288
258,13,0,0,8.999928000575996e-5,0.08862498099712895,0.19235160946846008,0.17592749953305908
259,13,0.10536144158014885,0.10017237793795758,0.02284243400624612,0.8790923005432489,2.4907615184783936,1.2501199125492237
260,13,0.11208232091023372,0.10623422268386928,0.021521174437875386,0.8022955063790952,2.4090983867645264,1.2264478536265166
